=== Summary for solver: RI (random graphs) ===

graph | time(s) | alloc(B)
100_random_graph_700.gfu | 15.500 | 3478040
10_random_graph_700.gfu | 30.460 | 6457663
11_random_graph_700.gfu | 2.640 | 493615
12_random_graph_700.gfu | NaN | NaN
13_random_graph_700.gfu | NaN | NaN
14_random_graph_700.gfu | NaN | NaN
15_random_graph_700.gfu | NaN | NaN
16_random_graph_700.gfu | 4.290 | 363383
17_random_graph_700.gfu | NaN | NaN
18_random_graph_700.gfu | NaN | NaN
19_random_graph_700.gfu | NaN | NaN
1_random_graph_700.gfu | 40.900 | 3699574
20_random_graph_700.gfu | NaN | NaN
21_random_graph_700.gfu | 5.510 | 439727
22_random_graph_700.gfu | NaN | NaN
23_random_graph_700.gfu | NaN | NaN
24_random_graph_700.gfu | NaN | NaN
25_random_graph_700.gfu | NaN | NaN
26_random_graph_700.gfu | NaN | NaN
27_random_graph_700.gfu | NaN | NaN
28_random_graph_700.gfu | 10.230 | 517791
29_random_graph_700.gfu | NaN | NaN
2_random_graph_700.gfu | 23.550 | 1652198
30_random_graph_700.gfu | 84.230 | 4329223
31_random_graph_700.gfu | NaN | NaN
32_random_graph_700.gfu | NaN | NaN
33_random_graph_700.gfu | NaN | NaN
34_random_graph_700.gfu | NaN | NaN
35_random_graph_700.gfu | NaN | NaN
36_random_graph_700.gfu | NaN | NaN
37_random_graph_700.gfu | NaN | NaN
38_random_graph_700.gfu | NaN | NaN
39_random_graph_700.gfu | NaN | NaN
3_random_graph_700.gfu | 28.370 | 1955198
40_random_graph_700.gfu | NaN | NaN
41_random_graph_700.gfu | 35.560 | 1344615
42_random_graph_700.gfu | 12.880 | 692295
43_random_graph_700.gfu | 39.520 | 1707287
44_random_graph_700.gfu | NaN | NaN
45_random_graph_700.gfu | 39.600 | 2090471
46_random_graph_700.gfu | 41.600 | 1878279
47_random_graph_700.gfu | NaN | NaN
48_random_graph_700.gfu | NaN | NaN
49_random_graph_700.gfu | NaN | NaN
4_random_graph_700.gfu | NaN | NaN
50_random_graph_700.gfu | NaN | NaN
51_random_graph_700.gfu | NaN | NaN
52_random_graph_700.gfu | 38.400 | 1425135
53_random_graph_700.gfu | 26.320 | 924951
54_random_graph_700.gfu | NaN | NaN
55_random_graph_700.gfu | 16.570 | 559215
56_random_graph_700.gfu | NaN | NaN
57_random_graph_700.gfu | NaN | NaN
58_random_graph_700.gfu | NaN | NaN
59_random_graph_700.gfu | NaN | NaN
5_random_graph_700.gfu | 112.270 | 3580430
60_random_graph_700.gfu | NaN | NaN
61_random_graph_700.gfu | NaN | NaN
62_random_graph_700.gfu | NaN | NaN
63_random_graph_700.gfu | NaN | NaN
64_random_graph_700.gfu | 64.200 | 1849495
65_random_graph_700.gfu | 62.210 | 1583455
66_random_graph_700.gfu | 32.340 | 779215
67_random_graph_700.gfu | NaN | NaN
68_random_graph_700.gfu | NaN | NaN
69_random_graph_700.gfu | NaN | NaN
6_random_graph_700.gfu | NaN | NaN
70_random_graph_700.gfu | 32.110 | 554015
71_random_graph_700.gfu | NaN | NaN
72_random_graph_700.gfu | NaN | NaN
73_random_graph_700.gfu | NaN | NaN
74_random_graph_700.gfu | NaN | NaN
75_random_graph_700.gfu | 42.480 | 826575
76_random_graph_700.gfu | NaN | NaN
77_random_graph_700.gfu | NaN | NaN
78_random_graph_700.gfu | 23.730 | 403167
79_random_graph_700.gfu | 56.760 | 1259215
7_random_graph_700.gfu | NaN | NaN
80_random_graph_700.gfu | NaN | NaN
81_random_graph_700.gfu | 32.630 | 668439
82_random_graph_700.gfu | NaN | NaN
83_random_graph_700.gfu | NaN | NaN
84_random_graph_700.gfu | NaN | NaN
85_random_graph_700.gfu | NaN | NaN
86_random_graph_700.gfu | NaN | NaN
87_random_graph_700.gfu | NaN | NaN
88_random_graph_700.gfu | NaN | NaN
89_random_graph_700.gfu | NaN | NaN
8_random_graph_700.gfu | 64.930 | 1198854
90_random_graph_700.gfu | NaN | NaN
91_random_graph_700.gfu | 78.220 | 1289927
92_random_graph_700.gfu | 95.610 | 1603495
93_random_graph_700.gfu | NaN | NaN
94_random_graph_700.gfu | NaN | NaN
95_random_graph_700.gfu | NaN | NaN
96_random_graph_700.gfu | 38.630 | 519327
97_random_graph_700.gfu | NaN | NaN
98_random_graph_700.gfu | NaN | NaN
99_random_graph_700.gfu | 30.310 | 496943
9_random_graph_700.gfu | NaN | NaN
