=== Summary for solver: SICS (random graphs) ===

graph | time(s) | alloc(B)
100_random_graph_700.lad | 81.810 | 1041740
10_random_graph_700.lad | 107.300 | 1068492
11_random_graph_700.lad | 52.420 | 930660
12_random_graph_700.lad | NaN | NaN
13_random_graph_700.lad | NaN | NaN
14_random_graph_700.lad | NaN | NaN
15_random_graph_700.lad | NaN | NaN
16_random_graph_700.lad | 53.240 | 911520
17_random_graph_700.lad | NaN | NaN
18_random_graph_700.lad | NaN | NaN
19_random_graph_700.lad | NaN | NaN
1_random_graph_700.lad | 88.830 | 1045068
20_random_graph_700.lad | NaN | NaN
21_random_graph_700.lad | 101.740 | 924996
22_random_graph_700.lad | NaN | NaN
23_random_graph_700.lad | NaN | NaN
24_random_graph_700.lad | NaN | NaN
25_random_graph_700.lad | NaN | NaN
26_random_graph_700.lad | NaN | NaN
27_random_graph_700.lad | NaN | NaN
28_random_graph_700.lad | 60.270 | 932972
29_random_graph_700.lad | NaN | NaN
2_random_graph_700.lad | 68.830 | 1007628
30_random_graph_700.lad | 96.310 | 1048908
31_random_graph_700.lad | NaN | NaN
32_random_graph_700.lad | NaN | NaN
33_random_graph_700.lad | NaN | NaN
34_random_graph_700.lad | NaN | NaN
35_random_graph_700.lad | NaN | NaN
36_random_graph_700.lad | NaN | NaN
37_random_graph_700.lad | NaN | NaN
38_random_graph_700.lad | NaN | NaN
39_random_graph_700.lad | NaN | NaN
3_random_graph_700.lad | 68.930 | 1019532
40_random_graph_700.lad | NaN | NaN
41_random_graph_700.lad | 66.320 | 992780
42_random_graph_700.lad | 60.650 | 946380
43_random_graph_700.lad | 72.070 | 1008524
44_random_graph_700.lad | NaN | NaN
45_random_graph_700.lad | NaN | NaN
46_random_graph_700.lad | 82.410 | 1015500
47_random_graph_700.lad | NaN | NaN
48_random_graph_700.lad | NaN | NaN
49_random_graph_700.lad | NaN | NaN
4_random_graph_700.lad | NaN | NaN
50_random_graph_700.lad | 95.970 | 1048396
51_random_graph_700.lad | NaN | NaN
52_random_graph_700.lad | 75.580 | 997132
53_random_graph_700.lad | 65.280 | 963980
54_random_graph_700.lad | NaN | NaN
55_random_graph_700.lad | 63.580 | 936620
56_random_graph_700.lad | NaN | NaN
57_random_graph_700.lad | NaN | NaN
58_random_graph_700.lad | NaN | NaN
59_random_graph_700.lad | NaN | NaN
5_random_graph_700.lad | 88.570 | 1042508
60_random_graph_700.lad | NaN | NaN
61_random_graph_700.lad | NaN | NaN
62_random_graph_700.lad | NaN | NaN
63_random_graph_700.lad | NaN | NaN
64_random_graph_700.lad | 74.420 | 1016780
65_random_graph_700.lad | 70.620 | 1006412
66_random_graph_700.lad | 62.760 | 954124
67_random_graph_700.lad | NaN | NaN
68_random_graph_700.lad | NaN | NaN
69_random_graph_700.lad | NaN | NaN
6_random_graph_700.lad | NaN | NaN
70_random_graph_700.lad | 59.180 | 936844
71_random_graph_700.lad | NaN | NaN
72_random_graph_700.lad | 105.870 | 1054412
73_random_graph_700.lad | NaN | NaN
74_random_graph_700.lad | NaN | NaN
75_random_graph_700.lad | NaN | NaN
76_random_graph_700.lad | NaN | NaN
77_random_graph_700.lad | NaN | NaN
78_random_graph_700.lad | NaN | NaN
79_random_graph_700.lad | 71.470 | 989068
7_random_graph_700.lad | NaN | NaN
80_random_graph_700.lad | NaN | NaN
81_random_graph_700.lad | 64.420 | 944100
82_random_graph_700.lad | NaN | NaN
83_random_graph_700.lad | NaN | NaN
84_random_graph_700.lad | NaN | NaN
85_random_graph_700.lad | NaN | NaN
86_random_graph_700.lad | NaN | NaN
87_random_graph_700.lad | NaN | NaN
88_random_graph_700.lad | NaN | NaN
89_random_graph_700.lad | NaN | NaN
8_random_graph_700.lad | 68.570 | 984652
90_random_graph_700.lad | NaN | NaN
91_random_graph_700.lad | 95.580 | 989324
92_random_graph_700.lad | 69.770 | 1005132
93_random_graph_700.lad | NaN | NaN
94_random_graph_700.lad | NaN | NaN
95_random_graph_700.lad | NaN | NaN
96_random_graph_700.lad | 81.730 | 932188
97_random_graph_700.lad | NaN | NaN
98_random_graph_700.lad | NaN | NaN
99_random_graph_700.lad | 63.170 | 930532
9_random_graph_700.lad | NaN | NaN
