=== Summary for solver: Glasgow (random graphs) ===

graph | time(s) | alloc(B)
100_random_graph_700.lad | 24.030 | 154136197
10_random_graph_700.lad | 43.480 | 410979608
11_random_graph_700.lad | 6.880 | 4288011
12_random_graph_700.lad | NaN | NaN
13_random_graph_700.lad | NaN | NaN
14_random_graph_700.lad | NaN | NaN
15_random_graph_700.lad | NaN | NaN
16_random_graph_700.lad | 5.790 | 3821087
17_random_graph_700.lad | NaN | NaN
18_random_graph_700.lad | NaN | NaN
19_random_graph_700.lad | NaN | NaN
1_random_graph_700.lad | 21.300 | 170629685
20_random_graph_700.lad | NaN | NaN
21_random_graph_700.lad | 6.250 | 4118403
22_random_graph_700.lad | NaN | NaN
23_random_graph_700.lad | NaN | NaN
24_random_graph_700.lad | NaN | NaN
25_random_graph_700.lad | NaN | NaN
26_random_graph_700.lad | NaN | NaN
27_random_graph_700.lad | 55.630 | 638509177
28_random_graph_700.lad | 5.370 | 4379831
29_random_graph_700.lad | NaN | NaN
2_random_graph_700.lad | 9.440 | 21211421
30_random_graph_700.lad | 23.830 | 224674503
31_random_graph_700.lad | NaN | NaN
32_random_graph_700.lad | 76.050 | 877523258
33_random_graph_700.lad | NaN | NaN
34_random_graph_700.lad | NaN | NaN
35_random_graph_700.lad | NaN | NaN
36_random_graph_700.lad | NaN | NaN
37_random_graph_700.lad | 52.370 | 543180181
38_random_graph_700.lad | NaN | NaN
39_random_graph_700.lad | 60.120 | 640739845
3_random_graph_700.lad | 10.250 | 35706673
40_random_graph_700.lad | NaN | NaN
41_random_graph_700.lad | 9.130 | 12844827
42_random_graph_700.lad | 7.310 | 6050623
43_random_graph_700.lad | 9.550 | 24079359
44_random_graph_700.lad | NaN | NaN
45_random_graph_700.lad | 11.050 | 42796767
46_random_graph_700.lad | 10.120 | 29246211
47_random_graph_700.lad | NaN | NaN
48_random_graph_700.lad | NaN | NaN
49_random_graph_700.lad | NaN | NaN
4_random_graph_700.lad | NaN | NaN
50_random_graph_700.lad | 28.030 | 200963893
51_random_graph_700.lad | NaN | NaN
52_random_graph_700.lad | 9.870 | 14750475
53_random_graph_700.lad | 8.730 | 7405887
54_random_graph_700.lad | NaN | NaN
55_random_graph_700.lad | 8.430 | 5706411
56_random_graph_700.lad | NaN | NaN
57_random_graph_700.lad | NaN | NaN
58_random_graph_700.lad | 52.920 | 484631505
59_random_graph_700.lad | NaN | NaN
5_random_graph_700.lad | 20.610 | 157253085
60_random_graph_700.lad | NaN | NaN
61_random_graph_700.lad | NaN | NaN
62_random_graph_700.lad | NaN | NaN
63_random_graph_700.lad | NaN | NaN
64_random_graph_700.lad | 9.610 | 29695015
65_random_graph_700.lad | 8.840 | 19097047
66_random_graph_700.lad | 7.270 | 6649167
67_random_graph_700.lad | NaN | NaN
68_random_graph_700.lad | NaN | NaN
69_random_graph_700.lad | NaN | NaN
6_random_graph_700.lad | NaN | NaN
70_random_graph_700.lad | 7.180 | 5694075
71_random_graph_700.lad | NaN | NaN
72_random_graph_700.lad | 28.780 | 281482189
73_random_graph_700.lad | NaN | NaN
74_random_graph_700.lad | NaN | NaN
75_random_graph_700.lad | 8.750 | 6716467
76_random_graph_700.lad | NaN | NaN
77_random_graph_700.lad | NaN | NaN
78_random_graph_700.lad | 5.670 | 4006503
79_random_graph_700.lad | 9.170 | 11379431
7_random_graph_700.lad | 80.640 | 905881292
80_random_graph_700.lad | NaN | NaN
81_random_graph_700.lad | 7.300 | 6087667
82_random_graph_700.lad | NaN | NaN
83_random_graph_700.lad | NaN | NaN
84_random_graph_700.lad | NaN | NaN
85_random_graph_700.lad | NaN | NaN
86_random_graph_700.lad | NaN | NaN
87_random_graph_700.lad | NaN | NaN
88_random_graph_700.lad | NaN | NaN
89_random_graph_700.lad | NaN | NaN
8_random_graph_700.lad | 14.490 | 10055337
90_random_graph_700.lad | NaN | NaN
91_random_graph_700.lad | 8.420 | 11430187
92_random_graph_700.lad | 9.140 | 18909115
93_random_graph_700.lad | NaN | NaN
94_random_graph_700.lad | NaN | NaN
95_random_graph_700.lad | NaN | NaN
96_random_graph_700.lad | 7.880 | 4367151
97_random_graph_700.lad | 23.060 | 172326451
98_random_graph_700.lad | NaN | NaN
99_random_graph_700.lad | 7.240 | 4299875
9_random_graph_700.lad | NaN | NaN
