=== Summary for solver: RI (random graphs) ===

graph | time(s) | alloc(B)
100_random_graph_1000.gfu | 6.440 | 1798050
10_random_graph_1000.gfu | NaN | NaN
11_random_graph_1000.gfu | 11.410 | 2947425
12_random_graph_1000.gfu | 7.770 | 2174345
13_random_graph_1000.gfu | 18.260 | 4296705
14_random_graph_1000.gfu | NaN | NaN
15_random_graph_1000.gfu | NaN | NaN
16_random_graph_1000.gfu | NaN | NaN
17_random_graph_1000.gfu | 49.600 | 6346177
18_random_graph_1000.gfu | NaN | NaN
19_random_graph_1000.gfu | NaN | NaN
1_random_graph_1000.gfu | NaN | NaN
20_random_graph_1000.gfu | NaN | NaN
21_random_graph_1000.gfu | 107.330 | 7669777
22_random_graph_1000.gfu | NaN | NaN
23_random_graph_1000.gfu | 20.700 | 2173697
24_random_graph_1000.gfu | NaN | NaN
25_random_graph_1000.gfu | NaN | NaN
26_random_graph_1000.gfu | NaN | NaN
27_random_graph_1000.gfu | NaN | NaN
28_random_graph_1000.gfu | NaN | NaN
29_random_graph_1000.gfu | NaN | NaN
2_random_graph_1000.gfu | NaN | NaN
30_random_graph_1000.gfu | NaN | NaN
31_random_graph_1000.gfu | NaN | NaN
32_random_graph_1000.gfu | NaN | NaN
33_random_graph_1000.gfu | NaN | NaN
34_random_graph_1000.gfu | NaN | NaN
35_random_graph_1000.gfu | NaN | NaN
36_random_graph_1000.gfu | NaN | NaN
37_random_graph_1000.gfu | NaN | NaN
38_random_graph_1000.gfu | NaN | NaN
39_random_graph_1000.gfu | NaN | NaN
3_random_graph_1000.gfu | NaN | NaN
40_random_graph_1000.gfu | NaN | NaN
41_random_graph_1000.gfu | NaN | NaN
42_random_graph_1000.gfu | NaN | NaN
43_random_graph_1000.gfu | NaN | NaN
44_random_graph_1000.gfu | NaN | NaN
45_random_graph_1000.gfu | NaN | NaN
46_random_graph_1000.gfu | NaN | NaN
47_random_graph_1000.gfu | 40.910 | 1159409
48_random_graph_1000.gfu | NaN | NaN
49_random_graph_1000.gfu | NaN | NaN
4_random_graph_1000.gfu | NaN | NaN
50_random_graph_1000.gfu | NaN | NaN
51_random_graph_1000.gfu | NaN | NaN
52_random_graph_1000.gfu | NaN | NaN
53_random_graph_1000.gfu | NaN | NaN
54_random_graph_1000.gfu | 74.420 | 2308833
55_random_graph_1000.gfu | NaN | NaN
56_random_graph_1000.gfu | NaN | NaN
57_random_graph_1000.gfu | NaN | NaN
58_random_graph_1000.gfu | NaN | NaN
59_random_graph_1000.gfu | NaN | NaN
5_random_graph_1000.gfu | 37.370 | 703920
60_random_graph_1000.gfu | NaN | NaN
61_random_graph_1000.gfu | NaN | NaN
62_random_graph_1000.gfu | NaN | NaN
63_random_graph_1000.gfu | NaN | NaN
64_random_graph_1000.gfu | 66.170 | 1716249
65_random_graph_1000.gfu | NaN | NaN
66_random_graph_1000.gfu | NaN | NaN
67_random_graph_1000.gfu | NaN | NaN
68_random_graph_1000.gfu | NaN | NaN
69_random_graph_1000.gfu | NaN | NaN
6_random_graph_1000.gfu | NaN | NaN
70_random_graph_1000.gfu | NaN | NaN
71_random_graph_1000.gfu | NaN | NaN
72_random_graph_1000.gfu | 35.020 | 577617
73_random_graph_1000.gfu | NaN | NaN
74_random_graph_1000.gfu | NaN | NaN
75_random_graph_1000.gfu | NaN | NaN
76_random_graph_1000.gfu | NaN | NaN
77_random_graph_1000.gfu | NaN | NaN
78_random_graph_1000.gfu | NaN | NaN
79_random_graph_1000.gfu | NaN | NaN
7_random_graph_1000.gfu | NaN | NaN
80_random_graph_1000.gfu | 45.350 | 679257
81_random_graph_1000.gfu | 82.740 | 1601633
82_random_graph_1000.gfu | NaN | NaN
83_random_graph_1000.gfu | NaN | NaN
84_random_graph_1000.gfu | NaN | NaN
85_random_graph_1000.gfu | NaN | NaN
86_random_graph_1000.gfu | NaN | NaN
87_random_graph_1000.gfu | NaN | NaN
88_random_graph_1000.gfu | 26.690 | 586041
89_random_graph_1000.gfu | NaN | NaN
8_random_graph_1000.gfu | NaN | NaN
90_random_graph_1000.gfu | NaN | NaN
91_random_graph_1000.gfu | NaN | NaN
92_random_graph_1000.gfu | NaN | NaN
93_random_graph_1000.gfu | NaN | NaN
94_random_graph_1000.gfu | NaN | NaN
95_random_graph_1000.gfu | NaN | NaN
96_random_graph_1000.gfu | NaN | NaN
97_random_graph_1000.gfu | NaN | NaN
98_random_graph_1000.gfu | NaN | NaN
99_random_graph_1000.gfu | NaN | NaN
9_random_graph_1000.gfu | NaN | NaN
